Country_or_region,Highest_point,Maximum_elevation,Lowest_point,Minimum_elevation,Elevation_span
Cameroon,Mount Cameroon,"4040 m13,255 ft",Bight of Bonny,sea level,"4040 m13,255 ft"
Canada,Mount Logan[e],"5959 m19,551 ft",North Atlantic OceanArctic OceanNorth Pacific Ocean,sea level,"5959 m19,551 ft"
Cape Verde,Pico do Fogo,"2829 m9,281 ft",North Atlantic Ocean,sea level,"2829 m9,281 ft"
Cayman Islands,The Bluff on Cayman Brac,46 m151 ft,Caribbean Sea,sea level,46 m151 ft
Central African Republic,Mont Ngaoui,"1420 m4,659 ft",Ubangi River,"335 m1,099 ft","1085 m3,560 ft"
Chad,Emi Koussi,"3445 m11,302 ft",Djourab Depression,160 m525 ft,"3285 m10,778 ft"
Chile,Ojos del Salado[f][g],"6893 m22,615 ft",South Pacific Ocean,sea level,"6893 m22,615 ft"
China[h],Mount Everest[i][j],"8849 m29,032 ft",Ayding Lake[k],−154 m−505 ft,"9,002 m29,534 ft"
Christmas Island,Murray Hill,"361 m1,184 ft",Indian Ocean,sea level,"361 m1,184 ft"
Clipperton Island,Rocher Clipperton,29 m95 ft,North Pacific Ocean,sea level,29 m95 ft
Cocos (Keeling) Islands,Unnamed location,5 m16 ft,Indian Ocean,sea level,5 m16 ft
Colombia,Pico Cristóbal Colón[l]Pico Simón Bolívar,"5730 m18,799 ft",North Pacific OceanCaribbean Sea,sea level,"5730 m18,799 ft"
Comoros,Mount Karthala on Grande Comore,"2360 m7,743 ft",Indian Ocean,sea level,"2360 m7,743 ft"
Democratic Republic of the Congo,Mount Stanley (Margherita Peak),"5109 m16,762 ft",South Atlantic Ocean,sea level,"5109 m16,762 ft"
Republic of the Congo,Mont Nabemba,"1020 m3,346 ft",South Atlantic Ocean,sea level,"1020 m3,346 ft"
Cook Islands,Te Manga on Rarotonga,"652 m2,139 ft",South Pacific Ocean,sea level,"652 m2,139 ft"
Coral Sea Islands,Unnamed location on Cato Island,29 m95 ft,South Pacific Ocean,sea level,29 m95 ft
Costa Rica,Cerro Chirripó,"3820 m12,533 ft",North Pacific OceanCaribbean Sea,sea level,"3820 m12,533 ft"
Ivory Coast,Mont Nimba,"1752 m5,748 ft",Gulf of Guinea,sea level,"1752 m5,748 ft"
Croatia,Dinara,"1831 m6,007 ft",Adriatic Sea,sea level,"1831 m6,007 ft"
