Country_or_region,Highest_point,Maximum_elevation,Lowest_point,Minimum_elevation,Elevation_span
Japan,Mount Fuji on Honshu,"3776 m12,388 ft",Hachiro-gata on Honshu,−4 m−13 ft,"3780 m12,402 ft"
Jersey,Les Platons,136 m446 ft,English Channel,sea level,136 m446 ft
Jordan,Jabal Umm ad Dami,"1854 m6,083 ft",Dead Sea[aa],"−428 m−1,404 ft","2276 m7,467 ft"
Kazakhstan,Khan Tengri,"7010 m22,999 ft",Karagiye Depression,−132 m−433 ft,"7142 m23,432 ft"
Kenya,Mount Kenya,"5199 m17,057 ft",Indian Ocean,sea level,"5199 m17,057 ft"
Kiribati,Unnamed location on Banaba,81 m266 ft,Pacific Ocean,sea level,81 m266 ft
North Korea,Paektu-san,"2744 m9,003 ft",Sea of JapanYellow Sea,sea level,"2744 m9,003 ft"
South Korea,Halla-san on Jejudo,"1947 m6,388 ft",Sea of JapanYellow Sea,sea level,"1947 m6,388 ft"
Kosovo,Velika Rudoka[12][13][14],"2660 m8,728 ft",White Drin,297 m974 ft,"2359 m7,740 ft"
Kuwait,Mutla Ridge,"306 m1,004 ft",Persian Gulf,sea level,"306 m1,004 ft"
Kyrgyzstan,Jengish Chokusu,"7439 m24,406 ft",Kara Darya,"435 m1,427 ft","7004 m22,979 ft"
Laos,Phou Bia,"2817 m9,242 ft",Mekong,70 m230 ft,"2747 m9,012 ft"
Latvia,Gaiziņkalns,"312 m1,024 ft",Baltic Sea,sea level,"312 m1,024 ft"
Lebanon,Qurnat as Sawda',"3088 m10,131 ft",Mediterranean Sea,sea level,"3088 m10,131 ft"
Lesotho,Thabana Ntlenyana[ab],"3482 m11,424 ft",Confluence of Orange River and Makhaleng River,"1400 m4,593 ft","2082 m6,831 ft"
Liberia,Mount Wuteve,"1440 m4,724 ft",North Atlantic Ocean,sea level,"1440 m4,724 ft"
Libya,Bikku Bitti,"2267 m7,438 ft",Sabkhat Ghuzayyil,−47 m−154 ft,"2314 m7,592 ft"
Liechtenstein,Grauspitz,"2599 m8,527 ft",Rhine,"430 m1,411 ft","2169 m7,116 ft"
Lithuania,Aukštojas Hill,294 m964 ft,Nemunas Delta,−5 m−16 ft,295 m968 ft
Luxembourg,Kneiff,"560 m1,837 ft",Moselle River,133 m436 ft,"427 m1,401 ft"
Macau,Coloane Alto on Gau Ou Saan,172 m564 ft,South China Sea,sea level,172 m564 ft
North Macedonia,Golem Korab,"2764 m9,068 ft",Vardar,50 m164 ft,"2714 m8,904 ft"
Madagascar,Maromokotro,"2876 m9,436 ft",Indian Ocean,sea level,"2876 m9,436 ft"
Malawi,Mount Mulanje,"3002 m9,849 ft",Shire River,37 m121 ft,"2965 m9,728 ft"
Malaysia,Gunung Kinabalu on Borneo,"4095 m13,436 ft",South China SeaIndian Ocean,sea level,"4095 m13,436 ft"
Maldives[ac],Mount Villingili on Villingili,5 m17 ft,Indian Ocean,sea level,5 m17 ft
Mali,Hombori Tondo,"1155 m3,789 ft",Senegal River,23 m75 ft,"1132 m3,714 ft"
Malta,Ta'Dmejrek on Malta Island,253 m830 ft,Mediterranean Sea,sea level,253 m830 ft
Marshall Islands,Unnamed location on Likiep,10 m33 ft,North Pacific Ocean,sea level,10 m33 ft
Martinique,Mount Pelée,"1397 m4,583 ft",Caribbean Sea,sea level,"1397 m4,583 ft"
Mauritania,Kediet ej Jill,"915 m3,002 ft",Sebkha de Ndrhamcha,−5 m−16 ft,"920 m3,018 ft"
Mauritius,Piton de la Petite Rivière Noire,"828 m2,717 ft",Indian Ocean,sea level,"828 m2,717 ft"
Mayotte,Benara on Mahoré,"660 m2,165 ft",Mozambique Channel,sea level,"660 m2,165 ft"
Mexico,Volcán Citlaltépetl (Pico de Orizaba)[ad],"5636 m18,491 ft",Laguna Salada,−10 m−33 ft,"5646 m18,524 ft"
Federated States of Micronesia,Nanlaud on Pohnpei,"782 m2,566 ft",North Pacific Ocean,sea level,"782 m2,566 ft"
Moldova,Bălănești Hill,"430 m1,411 ft",Dniester,2 m7 ft,"428 m1,404 ft"
