Location,Density /km2,Density /sq mi,Population,Area km2,Area sq mi,Unnamed: 6
Laos,32.0,83.0,7633779,236800.0,91400.0,
Venezuela,31.0,80.0,28838499,929690.0,358960.0,
Eritrea,31.0,80.0,3748902,121144.0,46774.0,
Bahamas,30.0,78.0,412624,13940.0,5380.0,
Angola,29.0,75.0,36684203,1246700.0,481400.0,
Somaliland,29.0,75.0,4914100,167283.0,64588.0,[22]
Estonia,29.0,75.0,1322766,45399.0,17529.0,
Somalia,28.0,73.0,18143379,637657.0,246201.0,
Latvia,28.0,73.0,1830212,64594.0,24940.0,
Abkhazia,28.0,73.0,245424,8662.0,3344.0,[23]
Vanuatu,27.0,70.0,334506,12189.0,4706.0,
Zambia,27.0,70.0,20569738,752612.0,290585.0,
Sudan,27.0,70.0,48109006,1765048.0,681489.0,
Peru,27.0,70.0,34352719,1285216.0,496225.0,
Chile,26.0,67.0,19629590,756102.0,291933.0,
Solomon Islands,26.0,67.0,740425,28896.0,11157.0,
Brazil,25.0,65.0,216422446,8510346.0,3285863.0,
Sweden,24.0,62.0,10612086,438574.0,169334.0,
Saint Pierre and Miquelon (France),24.0,62.0,5840,242.0,93.0,
Papua New Guinea,22.0,57.0,10329931,462840.0,178700.0,
Niger,21.0,54.0,27202843,1267000.0,489000.0,
Bhutan,21.0,54.0,787425,38394.0,14824.0,
Uruguay,20.0,52.0,3423109,173626.0,67037.0,
New Zealand,20.0,52.0,5228100,268107.0,103517.0,
Algeria,19.0,49.0,45606481,2381741.0,919595.0,
Åland (Finland),19.0,49.0,30237,1583.0,611.0,
Mali,19.0,49.0,23293699,1240192.0,478841.0,
Belize,18.0,47.0,410825,22965.0,8867.0,
Congo,18.0,47.0,6106869,342000.0,132000.0,
South Sudan,17.0,44.0,11088796,658841.0,254380.0,
Saudi Arabia,17.0,44.0,36947025,2206714.0,852017.0,
Finland,16.0,41.0,5545475,336884.0,130072.0,
Argentina,16.0,41.0,45773884,2796427.0,1079707.0,
South Ossetia,16.0,41.0,57095,3632.0,1402.0,[24]
New Caledonia (France),15.0,39.0,292991,19100.0,7400.0,
Paraguay,15.0,39.0,6109644,406752.0,157048.0,[25]
Oman,15.0,39.0,4644384,309980.0,119680.0,
Chad,14.0,36.0,18278568,1284000.0,496000.0,
Norway,14.0,36.0,5474360,385207.0,148729.0,[h]
Turkmenistan,13.0,34.0,6516100,488100.0,188500.0,
Christmas Island (Australia),12.0,31.0,1692,136.0,53.0,[26]
Bolivia,11.0,28.0,12388571,1098581.0,424164.0,
Central African Republic,9.0,23.0,5742316,622984.0,240535.0,
Gabon,9.0,23.0,2436567,267668.0,103347.0,
Russia,8.0,21.0,144444359,17098246.0,6601670.0,
Niue,7.0,18.0,1935,260.0,100.0,
Kazakhstan,7.0,18.0,19606634,2724902.0,1052091.0,
Mauritania,5.0,13.0,4862989,1030700.0,398000.0,
Botswana,5.0,13.0,2675353,582000.0,225000.0,
Libya,4.0,10.0,6888388,1676198.0,647184.0,
Canada,4.0,10.0,38781292,9984670.0,3855100.0,
Suriname,4.0,10.0,623237,163820.0,63250.0,
Guyana,4.0,10.0,813834,214969.0,83000.0,
French Guiana (France),4.0,10.0,312155,83534.0,32253.0,
Iceland,4.0,10.0,375319,103000.0,40000.0,
Australia,3.0,7.8,26439112,7692024.0,2969907.0,
Namibia,3.0,7.8,2604172,825229.0,318623.0,
Western Sahara,2.0,5.2,587259,266000.0,103000.0,
Mongolia,2.0,5.2,3447157,1564116.0,603909.0,
Pitcairn Islands (UK),0.9,2.3,40,47.0,18.0,[i]
Falkland Islands (UK),0.3,0.78,3791,12173.0,4700.0,
Greenland (Denmark),0.03,0.078,56643,2166086.0,836330.0,
